fips-new,disaster category,NAME10,NAMELSAD10,disaster,disaster_nodrought,severe,supersevere
1001,4,Autauga,Autauga County,23,22,3,2
1003,4,Baldwin,Baldwin County,29,28,3,2
1005,4,Barbour,Barbour County,20,19,4,4
1007,3,Bibb,Bibb County,17,16,3,2
1009,3,Blount,Blount County,18,17,3,3
1011,3,Bullock,Bullock County,18,17,3,2
1013,3,Butler,Butler County,19,18,3,3
1015,4,Calhoun,Calhoun County,20,19,3,2
1017,3,Chambers,Chambers County,16,15,2,2
1019,3,Cherokee,Cherokee County,19,18,4,4
1021,3,Chilton,Chilton County,19,18,3,3
1023,4,Choctaw,Choctaw County,23,22,5,2
1025,4,Clarke,Clarke County,21,20,4,3
1027,4,Clay,Clay County,20,19,3,2
1029,3,Cleburne,Cleburne County,17,16,3,3
1031,4,Coffee,Coffee County,25,24,2,2
1033,4,Colbert,Colbert County,24,23,3,3
1035,4,Conecuh,Conecuh County,21,20,5,4
1037,2,Coosa,Coosa County,12,11,3,2
1039,4,Covington,Covington County,24,23,4,3
1041,3,Crenshaw,Crenshaw County,19,18,4,3
1043,4,Cullman,Cullman County,25,24,3,3
1045,4,Dale,Dale County,21,20,2,2
1047,4,Dallas,Dallas County,23,22,3,3
1049,4,DeKalb,DeKalb County,27,26,2,2
1051,3,Elmore,Elmore County,18,17,2,2
1053,4,Escambia,Escambia County,21,20,3,2
1055,4,Etowah,Etowah County,23,22,4,4
1057,2,Fayette,Fayette County,13,12,4,3
1059,3,Franklin,Franklin County,15,14,4,4
1061,4,Geneva,Geneva County,20,19,4,3
1063,3,Greene,Greene County,15,14,3,3
1065,3,Hale,Hale County,16,15,2,2
1067,3,Henry,Henry County,18,17,2,2
1069,4,Houston,Houston County,23,22,4,3
1071,4,Jackson,Jackson County,21,20,5,4
1073,4,Jefferson,Jefferson County,34,33,5,3
1075,3,Lamar,Lamar County,19,18,4,3
1077,2,Lauderdale,Lauderdale County,14,13,3,2
1079,2,Lawrence,Lawrence County,14,13,4,4
1081,2,Lee,Lee County,14,13,3,2
1083,3,Limestone,Limestone County,16,15,3,3
1085,2,Lowndes,Lowndes County,13,12,3,3
1087,3,Macon,Macon County,15,14,3,2
1089,3,Madison,Madison County,19,18,6,5
1091,3,Marengo,Marengo County,18,17,4,3
1093,4,Marion,Marion County,26,25,3,3
1095,4,Marshall,Marshall County,21,20,2,2
1097,4,Mobile,Mobile County,31,30,4,2
1099,4,Monroe,Monroe County,20,19,4,3
1101,4,Montgomery,Montgomery County,27,26,4,4
1103,3,Morgan,Morgan County,18,17,5,5
1105,2,Perry,Perry County,14,13,3,2
1107,3,Pickens,Pickens County,19,18,4,3
1109,3,Pike,Pike County,19,18,4,3
